_file,backend,seq_len,head_dim,latency_ms,latency_std_ms,tokens_per_second,compression_ratio,effective_quant_kv_bandwidth_gbps,materializes_dense_kv
dense_s2048_d128.json,dense,2048,128,2.268282928466797,0.012898758053611962,7053.793774665887,1.0,236.68604355404983,False
portable_fused_s2048_d128.json,fused,2048,128,6.921707458496094,0.0063198036927246135,2311.5683660338314,1.994157740993184,38.895299984043945,True
portable_paged_s2048_d128.json,paged,2048,128,10.19024383544922,0.000516692018431705,1570.1292587661292,1.994035442195467,26.421193088961157,True
triton_fused_s512_d64.json,triton_fused,512,64,0.09474047660827636,0.00023368754557811405,168882.4098505988,1.9883495145631067,356.2473106352472,False
triton_fused_s512_d128.json,triton_fused,512,128,0.140513277053833,0.0048659161612281615,113868.24316872297,1.994157740993184,478.99724076760475,False
triton_fused_s2048_d64.json,triton_fused,2048,64,0.3829043197631836,0.03783676135301043,41785.89578173363,1.9883495145631067,352.57935999128074,False
triton_fused_s2048_d128.json,triton_fused,2048,128,0.48583681106567383,0.0585020773992361,32932.868888432524,1.994157740993184,554.1405712125166,False
triton_fused_s2048_d128_compare.json,triton_fused,2048,128,0.5169971084594727,0.02077069561362468,30947.948718081152,1.994157740993184,520.7415739755617,False
triton_fused_s4096_d64.json,triton_fused,4096,64,0.5972275161743164,0.0746310878584785,26790.460195959866,1.9883495145631067,452.1029468461246,False
triton_fused_s4096_d128.json,triton_fused,4096,128,0.955412483215332,0.0006884809949048182,16746.693476469787,1.994157740993184,563.5720544365599,False
triton_paged_s512_d64.json,triton_paged,512,64,0.08476671695709229,0.0002963216197825098,188753.32883422836,1.988100700382613,398.2136528548869,False
triton_paged_s512_d128.json,triton_paged,512,128,0.19170303344726564,0.006257620996740953,83462.42473206006,1.9940325982158649,351.11440225861526,False
triton_paged_s2048_d64.json,triton_paged,2048,64,0.31390719413757323,0.0183777416100726,50970.47885110854,1.9881063545588042,430.1292691649039,False
triton_paged_s2048_d128.json,triton_paged,2048,128,0.5813452911376953,0.06658830928736623,27522.369655197395,1.994035442195467,463.12992313586864,False
triton_paged_s2048_d128_compare.json,triton_paged,2048,128,0.581457920074463,0.00038524052617246337,27517.038546746426,1.994035442195467,463.0402144415208,False
triton_paged_s4096_d64.json,triton_paged,4096,64,0.6208409690856933,0.01828653784623149,25771.495111804637,1.9881072969246294,434.96036738311125,False
triton_paged_s4096_d128.json,triton_paged,4096,128,1.1559526062011718,0.08414775057078644,13841.397920785952,1.994035916192856,465.82936801328367,False
