_file,backend,seq_len,head_dim,block_size,block_n,num_warps,num_splits,env_flashspec_num_splits,env_flashspec_block_n,env_flashspec_num_warps,length_pattern,passes_lengths_to_attention,effective_min_seq_len,effective_max_seq_len,paged_layout,paged_layout_seed,latency_ms,latency_std_ms,tokens_per_second,compression_ratio,effective_quant_kv_bandwidth_gbps,measured_achieved_bandwidth_gbps,measured_dram_throughput_pct,measured_occupancy_pct,measured_registers_per_thread,measured_theoretical_occupancy_pct,materializes_dense_kv
dense_s2048_d128.json,dense,2048,128,16,,,,,,,,,,,,,2.513663940429687,0.00033249482888979287,6365.210457395092,1.0,213.5810214583525,,,,,,False
portable_fused_s2048_d128.json,fused,2048,128,16,,,,,,,,,,,,,7.471042785644531,0.0004344867240153094,2141.601977001618,1.994157740993184,36.035382974556754,,,,,,True
portable_paged_s2048_d128.json,paged,2048,128,16,,,,,,,,,,,,,10.829916381835936,0.001803172622387146,1477.3890615476394,1.994035442195467,24.860616694286747,,,,,,True
triton_fused_s512_d64.json,triton_fused,512,64,16,64.0,4.0,1.0,,,,uniform,,512,512,contiguous,0,0.049735682010650636,0.00034608154168346895,321700.6252487637,1.9883495145631067,678.6081669247523,587.2858630022903,37.79009577347492,26.080127003955862,96.0,31.25,False
triton_fused_s512_d128.json,triton_fused,512,128,16,64.0,4.0,1.0,,,,uniform,,512,512,contiguous,0,0.10751999855041504,0.00021335399786062033,148809.52581577428,1.994157740993184,625.9809608204296,653.0391195119033,42.01440543127169,26.15419129082426,80.0,37.5,False
triton_fused_s2048_d64.json,triton_fused,2048,64,16,64.0,4.0,4.0,,,,uniform,,2048,2048,contiguous,0,0.17267711639404298,0.004133205416570146,92658.4850043973,1.9883495145631067,781.8300584307034,692.3658875013342,44.533120930729,38.642172590457896,72.0,43.75,False
ab_s2048_splitoff.json,triton_fused,2048,128,16,64.0,4.0,1.0,1,,,uniform,,2048,2048,contiguous,0,0.32139265060424804,0.03808528412725349,49783.34124914964,1.994157740993184,837.6728201277716,705.9581302898179,45.398587458322645,26.284037413439346,80.0,37.5,False
ab_s2048_spliton.json,triton_fused,2048,128,16,64.0,4.0,4.0,,,,uniform,,2048,2048,contiguous,0,0.30394367218017576,0.0002616702336938483,52641.33280101751,1.994157740993184,885.7624377203914,784.3891155663839,50.44491502040098,23.466700619367714,128.0,25.0,False
bn_s2048_bn32.json,triton_fused,2048,128,16,32.0,4.0,1.0,1,32,,uniform,,2048,2048,contiguous,0,0.4534272003173828,0.012570494612055883,35286.81117674585,1.994157740993184,593.7488704064386,493.2243599793939,31.718245682800635,25.718011176562815,80.0,37.5,False
bn_s2048_bn64.json,triton_fused,2048,128,16,64.0,4.0,1.0,1,64,,uniform,,2048,2048,contiguous,0,0.34415616989135744,0.005400085906935247,46490.52203553651,1.994157740993184,782.2666322820464,707.7789849249461,45.516430683681016,26.297979171354182,80.0,37.5,False
triton_fused_s2048_d128.json,triton_fused,2048,128,16,64.0,4.0,4.0,,,,uniform,False,2048,2048,contiguous,0,0.3279360008239746,0.035805733012781976,48790.00768381109,1.994157740993184,820.958624010633,775.3578785504976,49.861565845591436,23.466634752081703,114.0,25.0,False
triton_fused_s2048_d128_compare.json,triton_fused,2048,128,16,,,4.0,,,,,,,,,,0.3701555252075195,0.0005777012741275866,43225.07408481868,1.994157740993184,727.3210033784223,775.4030526376879,49.86755788984969,23.475012477511463,,,False
triton_fused_s4096_d64.json,triton_fused,4096,64,16,64.0,4.0,8.0,,,,uniform,,4096,4096,contiguous,0,0.30418944358825684,0.0035879836683596887,52598.800968442534,1.9883495145631067,887.6321177189714,761.6376189799687,48.986055405597384,40.90053303025998,72.0,43.75,False
ab_s4096_splitoff.json,triton_fused,4096,128,16,64.0,4.0,1.0,1,,,uniform,,4096,4096,contiguous,0,0.6283673477172851,0.06402759774860935,25462.812569947087,1.994157740993184,856.8933092339109,703.3252572024847,45.22703381540117,26.318003603280452,80.0,37.5,False
ab_s4096_spliton.json,triton_fused,4096,128,16,64.0,4.0,8.0,,,,uniform,,4096,4096,contiguous,0,0.5639270401000976,0.056238852236542645,28372.464631523937,1.994157740993184,954.8110619140124,794.4194953188777,51.08665295965283,24.17909730968241,128.0,25.0,False
bn_s4096_bn32.json,triton_fused,4096,128,16,32.0,4.0,1.0,1,32,,uniform,,4096,4096,contiguous,0,0.8946995162963867,0.009925353153162664,17883.09897185603,1.994157740993184,601.8152085617425,488.005724888557,31.38073654198629,25.71199477292784,80.0,37.5,False
bn_s4096_bn64.json,triton_fused,4096,128,16,64.0,4.0,1.0,1,64,,uniform,,4096,4096,contiguous,0,0.6278860855102539,0.027008049977337023,25482.329309778444,1.994157740993184,857.5501009270363,704.5287776834128,45.30314447638336,26.31200880316195,80.0,37.5,False
