"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","c2clink__enabled_mask","c2clink__present","derived__avg_thread_executed","derived__avg_thread_executed_true","derived__memory_l1_conflicts_shared_nway","derived__memory_l1_wavefronts_shared_excessive","derived__memory_l2_theoretical_sectors_global_excessive","derived__smsp__inst_executed_op_branch_pct","device__attribute_architecture","device__attribute_async_engine_count","device__attribute_can_flush_remote_writes","device__attribute_can_map_host_memory","device__attribute_can_tex2d_gather","device__attribute_can_use_64_bit_stream_mem_ops","device__attribute_can_use_64_bit_stream_mem_ops_v1","device__attribute_can_use_host_pointer_for_registered_mem","device__attribute_can_use_stream_mem_ops_v1","device__attribute_can_use_stream_wait_value_nor","device__attribute_can_use_stream_wait_value_nor_v1","device__attribute_chip","device__attribute_clock_rate","device__attribute_cluster_launch","device__attribute_compute_capability_major","device__attribute_compute_capability_minor","device__attribute_compute_mode","device__attribute_compute_preemption_supported","device__attribute_concurrent_kernels","device__attribute_concurrent_managed_access","device__attribute_confidential_computing_mode","device__attribute_cooperative_launch","device__attribute_cooperative_multi_device_launch","device__attribute_deferred_mapping_cuda_array_supported","device__attribute_device_index","device__attribute_direct_managed_mem_access_from_host","device__attribute_display_name","device__attribute_dma_buf_supported","device__attribute_ecc_enabled","device__attribute_fb_bus_width","device__attribute_fbp_count","device__attribute_generic_compression_supported","device__attribute_global_l1_cache_supported","device__attribute_global_memory_bus_width","device__attribute_gpu_direct_rdma_flush_writes_options","device__attribute_gpu_direct_rdma_supported","device__attribute_gpu_direct_rdma_with_cuda_vmm_supported","device__attribute_gpu_direct_rdma_writes_ordering","device__attribute_gpu_overlap","device__attribute_gpu_pci_device_id","device__attribute_gpu_pci_ext_device_id","device__attribute_gpu_pci_ext_downstream_link_rate","device__attribute_gpu_pci_ext_downstream_link_width","device__attribute_gpu_pci_ext_gen","device__attribute_gpu_pci_ext_gpu_gen","device__attribute_gpu_pci_ext_gpu_link_rate","device__attribute_gpu_pci_ext_gpu_link_width","device__attribute_gpu_pci_revision_id","device__attribute_gpu_pci_sub_system_id","device__attribute_handle_type_fabric_supported","device__attribute_handle_type_posix_file_descriptor_supported","device__attribute_handle_type_win32_handle_supported","device__attribute_handle_type_win32_kmt_handle_supported","device__attribute_host_native_atomic_supported","device__attribute_host_numa_id","device__attribute_host_register_supported","device__attribute_implementation","device__attribute_integrated","device__attribute_ipc_event_supported","device__attribute_kernel_exec_timeout","device__attribute_l2_cache_size","device__attribute_l2s_count","device__attribute_limits_max_cta_per_sm","device__attribute_limits_num_tpcs","device__attribute_local_l1_cache_supported","device__attribute_managed_memory","device__attribute_max_access_policy_window_size","device__attribute_max_block_dim_x","device__attribute_max_block_dim_y","device__attribute_max_block_dim_z","device__attribute_max_blocks_per_multiprocessor","device__attribute_max_gpu_frequency_khz","device__attribute_max_grid_dim_x","device__attribute_max_grid_dim_y","device__attribute_max_grid_dim_z","device__attribute_max_ipc_per_multiprocessor","device__attribute_max_ipc_per_scheduler","device__attribute_max_mem_frequency_khz","device__attribute_max_persisting_l2_cache_size","device__attribute_max_pitch","device__attribute_max_registers_per_block","device__attribute_max_registers_per_multiprocessor","device__attribute_max_registers_per_thread","device__attribute_max_shared_memory_per_block","device__attribute_max_shared_memory_per_block_optin","device__attribute_max_shared_memory_per_multiprocessor","device__attribute_max_threads_per_block","device__attribute_max_threads_per_multiprocessor","device__attribute_max_warps_per_multiprocessor","device__attribute_max_warps_per_scheduler","device__attribute_maximum_surface1d_layered_layers","device__attribute_maximum_surface1d_layered_width","device__attribute_maximum_surface1d_width","device__attribute_maximum_surface2d_height","device__attribute_maximum_surface2d_layered_height","device__attribute_maximum_surface2d_layered_layers","device__attribute_maximum_surface2d_layered_width","device__attribute_maximum_surface2d_width","device__attribute_maximum_surface3d_depth","device__attribute_maximum_surface3d_height","device__attribute_maximum_surface3d_width","device__attribute_maximum_surfacecubemap_layered_layers","device__attribute_maximum_surfacecubemap_layered_width","device__attribute_maximum_surfacecubemap_width","device__attribute_maximum_texture1d_layered_layers","device__attribute_maximum_texture1d_layered_width","device__attribute_maximum_texture1d_linear_width","device__attribute_maximum_texture1d_mipmapped_width","device__attribute_maximum_texture1d_width","device__attribute_maximum_texture2d_gather_height","device__attribute_maximum_texture2d_gather_width","device__attribute_maximum_texture2d_height","device__attribute_maximum_texture2d_layered_height","device__attribute_maximum_texture2d_layered_layers","device__attribute_maximum_texture2d_layered_width","device__attribute_maximum_texture2d_linear_height","device__attribute_maximum_texture2d_linear_pitch","device__attribute_maximum_texture2d_linear_width","device__attribute_maximum_texture2d_mipmapped_height","device__attribute_maximum_texture2d_mipmapped_width","device__attribute_maximum_texture2d_width","device__attribute_maximum_texture3d_depth","device__attribute_maximum_texture3d_depth_alternate","device__attribute_maximum_texture3d_height","device__attribute_maximum_texture3d_height_alternate","device__attribute_maximum_texture3d_width","device__attribute_maximum_texture3d_width_alternate","device__attribute_maximum_texturecubemap_layered_layers","device__attribute_maximum_texturecubemap_layered_width","device__attribute_maximum_texturecubemap_width","device__attribute_mem_sync_domain_count","device__attribute_memory_clock_rate","device__attribute_memory_pools_supported","device__attribute_mempool_supported_handle_types","device__attribute_mps_enabled","device__attribute_multi_gpu_board","device__attribute_multi_gpu_board_group_id","device__attribute_multicast_supported","device__attribute_multiprocessor_count","device__attribute_num_l2s_per_fbp","device__attribute_num_schedulers_per_multiprocessor","device__attribute_num_tex_per_multiprocessor","device__attribute_numa_config","device__attribute_pageable_memory_access","device__attribute_pageable_memory_access_uses_host_page_tables","device__attribute_pci_bus_id","device__attribute_pci_device_id","device__attribute_pci_domain_id","device__attribute_ram_location","device__attribute_ram_type","device__attribute_reserved_shared_memory_per_block","device__attribute_sass_level","device__attribute_single_to_double_precision_perf_ratio","device__attribute_sparse_cuda_array_supported","device__attribute_stream_priorities_supported","device__attribute_surface_alignment","device__attribute_tcc_driver","device__attribute_tensor_map_access_supported","device__attribute_texture_alignment","device__attribute_texture_pitch_alignment","device__attribute_total_constant_memory","device__attribute_total_memory","device__attribute_unified_addressing","device__attribute_unified_function_pointers","device__attribute_virtual_address_management_supported","device__attribute_warp_size","dram__bytes.avg.per_second","dram__bytes.max.per_second","dram__bytes.min.per_second","dram__bytes.sum.per_second","gpc__cycles_elapsed.avg","gpc__cycles_elapsed.max","gpc__cycles_elapsed.min","gpc__cycles_elapsed.sum","gpu__compute_memory_access_throughput.avg.pct_of_peak_sustained_elapsed","gpu__compute_memory_access_throughput.max.pct_of_peak_sustained_elapsed","gpu__compute_memory_access_throughput.min.pct_of_peak_sustained_elapsed","gpu__compute_memory_access_throughput.sum.pct_of_peak_sustained_elapsed","gpu__compute_memory_request_throughput.avg.pct_of_peak_sustained_elapsed","gpu__compute_memory_request_throughput.max.pct_of_peak_sustained_elapsed","gpu__compute_memory_request_throughput.min.pct_of_peak_sustained_elapsed","gpu__compute_memory_request_throughput.sum.pct_of_peak_sustained_elapsed","gpu__time_duration.sum","inst_executed","l1tex__cycles_active.avg","l1tex__cycles_active.max","l1tex__cycles_active.min","l1tex__cycles_active.sum","l1tex__cycles_elapsed.avg","l1tex__cycles_elapsed.max","l1tex__cycles_elapsed.min","l1tex__cycles_elapsed.sum","l1tex__t_sector_hit_rate.pct","launch__barrier_count","launch__block_dim_x","launch__block_dim_y","launch__block_dim_z","launch__block_size","launch__context_id","launch__device_id","launch__func_cache_config","launch__function_pcs","launch__grid_dim_x","launch__grid_dim_y","launch__grid_dim_z","launch__grid_size","launch__kernel_name","launch__occupancy_limit_blocks","launch__occupancy_limit_registers","launch__occupancy_limit_shared_mem","launch__occupancy_limit_warps","launch__occupancy_per_block_size","launch__occupancy_per_register_count","launch__occupancy_per_shared_mem_size","launch__registers_per_thread","launch__registers_per_thread_allocated","launch__shared_mem_config_size","launch__shared_mem_per_block","launch__shared_mem_per_block_allocated","launch__shared_mem_per_block_driver","launch__shared_mem_per_block_dynamic","launch__shared_mem_per_block_static","launch__sm_count","launch__stack_size","launch__stream_id","launch__thread_count","launch__tpc_count","launch__tpc_enabled","launch__uses_cdp","launch__uses_green_context","launch__uses_vgpu","launch__waves_per_multiprocessor","lts__average_gcomp_input_sector_success_rate.pct","lts__average_gcomp_output_sector_compression_achieved_rate.ratio","lts__cycles_active.avg","lts__cycles_active.max","lts__cycles_active.min","lts__cycles_active.sum","lts__cycles_elapsed.avg","lts__cycles_elapsed.max","lts__cycles_elapsed.min","lts__cycles_elapsed.sum","lts__gcomp_input_sectors.avg","lts__gcomp_input_sectors.max","lts__gcomp_input_sectors.min","lts__gcomp_input_sectors.sum","lts__t_sector_hit_rate.pct","memory_access_size_type","memory_access_type","memory_l1_tag_requests_global","memory_l1_wavefronts_shared","memory_l1_wavefronts_shared_ideal","memory_l2_theoretical_sectors_global","memory_l2_theoretical_sectors_global_ideal","memory_l2_theoretical_sectors_local","memory_type","numa__cpu_affinity","numa__dev_display_name_all","numa__id_cpu","numa__id_memory","nvlink__bandwidth","nvlink__count_logical","nvlink__count_physical","nvlink__destination_ports","nvlink__dev0Id","nvlink__dev0type","nvlink__dev1Id","nvlink__dev1type","nvlink__dev_display_name_all","nvlink__enabled_mask","nvlink__is_direct_link","nvlink__is_nvswitch_connected","nvlink__max_count","nvlink__peer_access","nvlink__peer_atomic","nvlink__source_ports","nvlink__system_access","nvlink__system_atomic","profiler__perfworks_session_reuse","profiler__replayer_bytes_mem_accessible.avg","profiler__replayer_bytes_mem_accessible.max","profiler__replayer_bytes_mem_accessible.min","profiler__replayer_bytes_mem_accessible.sum","profiler__replayer_bytes_mem_backed_up.avg","profiler__replayer_bytes_mem_backed_up.max","profiler__replayer_bytes_mem_backed_up.min","profiler__replayer_bytes_mem_backed_up.sum","profiler__replayer_passes","profiler__replayer_passes_type_warmup","sass__inst_executed_per_opcode","sass__inst_executed_per_opcode_with_modifier_all","sass__inst_executed_per_opcode_with_modifier_selective","sass__thread_inst_executed_true_per_opcode","sass__thread_inst_executed_true_per_opcode_with_modifier_all","sass__thread_inst_executed_true_per_opcode_with_modifier_selective","sm__maximum_warps_avg_per_active_cycle","sm__maximum_warps_per_active_cycle_pct","sm__memory_throughput.avg.pct_of_peak_sustained_elapsed","sm__memory_throughput.max.pct_of_peak_sustained_elapsed","sm__memory_throughput.min.pct_of_peak_sustained_elapsed","sm__memory_throughput.sum.pct_of_peak_sustained_elapsed","smsp__branch_targets_threads_divergent","smsp__inst_executed.avg","smsp__inst_executed.max","smsp__inst_executed.min","smsp__inst_executed.sum","smsp__inst_executed_op_branch.avg","smsp__inst_executed_op_branch.max","smsp__inst_executed_op_branch.min","smsp__inst_executed_op_branch.sum","smsp__inst_issued.avg","smsp__inst_issued.max","smsp__inst_issued.min","smsp__inst_issued.sum","smsp__issue_active.avg.pct_of_peak_sustained_active","smsp__issue_active.avg.per_cycle_active","smsp__issue_active.max.pct_of_peak_sustained_active","smsp__issue_active.max.per_cycle_active","smsp__issue_active.min.pct_of_peak_sustained_active","smsp__issue_active.min.per_cycle_active","smsp__issue_active.sum.pct_of_peak_sustained_active","smsp__issue_active.sum.per_cycle_active","smsp__issue_inst0.avg.pct_of_peak_sustained_active","smsp__issue_inst0.max.pct_of_peak_sustained_active","smsp__issue_inst0.min.pct_of_peak_sustained_active","smsp__issue_inst0.sum.pct_of_peak_sustained_active","smsp__maximum_warps_avg_per_active_cycle","smsp__pcsamp_aggregated_passes","smsp__pcsamp_buffer_size_bytes","smsp__pcsamp_dropped_bytes","smsp__pcsamp_interval","smsp__pcsamp_interval_cycles","smsp__pcsamp_sample_count","smsp__pcsamp_warps_issue_stalled_barrier","smsp__pcsamp_warps_issue_stalled_barrier_not_issued","smsp__pcsamp_warps_issue_stalled_branch_resolving","smsp__pcsamp_warps_issue_stalled_branch_resolving_not_issued","smsp__pcsamp_warps_issue_stalled_dispatch_stall","smsp__pcsamp_warps_issue_stalled_dispatch_stall_not_issued","smsp__pcsamp_warps_issue_stalled_drain","smsp__pcsamp_warps_issue_stalled_drain_not_issued","smsp__pcsamp_warps_issue_stalled_imc_miss","smsp__pcsamp_warps_issue_stalled_imc_miss_not_issued","smsp__pcsamp_warps_issue_stalled_lg_throttle","smsp__pcsamp_warps_issue_stalled_lg_throttle_not_issued","smsp__pcsamp_warps_issue_stalled_long_scoreboard","smsp__pcsamp_warps_issue_stalled_long_scoreboard_not_issued","smsp__pcsamp_warps_issue_stalled_math_pipe_throttle","smsp__pcsamp_warps_issue_stalled_math_pipe_throttle_not_issued","smsp__pcsamp_warps_issue_stalled_membar","smsp__pcsamp_warps_issue_stalled_membar_not_issued","smsp__pcsamp_warps_issue_stalled_mio_throttle","smsp__pcsamp_warps_issue_stalled_mio_throttle_not_issued","smsp__pcsamp_warps_issue_stalled_misc","smsp__pcsamp_warps_issue_stalled_misc_not_issued","smsp__pcsamp_warps_issue_stalled_no_instructions","smsp__pcsamp_warps_issue_stalled_no_instructions_not_issued","smsp__pcsamp_warps_issue_stalled_not_selected","smsp__pcsamp_warps_issue_stalled_not_selected_not_issued","smsp__pcsamp_warps_issue_stalled_selected","smsp__pcsamp_warps_issue_stalled_selected_not_issued","smsp__pcsamp_warps_issue_stalled_short_scoreboard","smsp__pcsamp_warps_issue_stalled_short_scoreboard_not_issued","smsp__pcsamp_warps_issue_stalled_sleeping","smsp__pcsamp_warps_issue_stalled_sleeping_not_issued","smsp__pcsamp_warps_issue_stalled_tex_throttle","smsp__pcsamp_warps_issue_stalled_tex_throttle_not_issued","smsp__pcsamp_warps_issue_stalled_wait","smsp__pcsamp_warps_issue_stalled_wait_not_issued","smsp__sass_average_branch_targets_threads_uniform.pct","smsp__sass_branch_targets_threads_divergent.avg","smsp__sass_branch_targets_threads_divergent.max","smsp__sass_branch_targets_threads_divergent.min","smsp__sass_branch_targets_threads_divergent.sum","smsp__sass_inst_executed_memdesc_explicit_evict_type","smsp__sass_inst_executed_memdesc_explicit_hitprop_evict_first","smsp__sass_inst_executed_memdesc_explicit_hitprop_evict_last","smsp__sass_inst_executed_memdesc_explicit_hitprop_evict_normal","smsp__sass_inst_executed_memdesc_explicit_hitprop_evict_normal_demote","smsp__sass_inst_executed_memdesc_explicit_missprop_evict_first","smsp__sass_inst_executed_memdesc_explicit_missprop_evict_normal","smsp__warps_active.avg.peak_sustained","smsp__warps_active.avg.per_cycle_active","smsp__warps_active.max.peak_sustained","smsp__warps_active.max.per_cycle_active","smsp__warps_active.min.peak_sustained","smsp__warps_active.min.per_cycle_active","smsp__warps_active.sum.peak_sustained","smsp__warps_active.sum.per_cycle_active","smsp__warps_eligible.avg.per_cycle_active","smsp__warps_eligible.max.per_cycle_active","smsp__warps_eligible.min.per_cycle_active","smsp__warps_eligible.sum.per_cycle_active","thread_inst_executed","thread_inst_executed_true"
"","","","","","","","","","","","","","thread","thread","","","byte","%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Gbyte/s","Gbyte/s","Gbyte/s","Gbyte/s","cycle","cycle","cycle","cycle","%","%","%","%","%","%","%","%","us","inst","cycle","cycle","cycle","cycle","cycle","cycle","cycle","cycle","%","","block","block","block","","","","","","","","","","","block","block","block","block","","","","register/thread","register/thread","Kbyte","Kbyte/block","Kbyte/block","Kbyte/block","Kbyte/block","byte/block","SM","","","thread","","","","","","","%","","cycle","cycle","cycle","cycle","cycle","cycle","cycle","cycle","sector","sector","sector","sector","%","","","sectors","sectors","sectors","sectors","sectors","sectors","","","","","","","","","","","","","","","","","","","","","","","","","Gbyte","Gbyte","Gbyte","Gbyte","Gbyte","Gbyte","Gbyte","Gbyte","pass","pass","","","","","","","warp","%","%","%","%","%","branches","inst","inst","inst","inst","inst","inst","inst","inst","inst","inst","inst","inst","%","","%","","%","","%","","%","%","%","%","warp","pass","Mbyte","byte","","cycle","","warp","warp","branches","branches","warp","warp","warp","warp","warp","warp","warp","warp","warp","warp","warp","warp","warp","warp","warp","warp","warp","warp","inst","inst","warp","warp","warp","warp","warp","warp","warp","warp","warp","warp","warp","warp","%","branches","branches","branches","branches","","inst","inst","inst","inst","inst","inst","warp","warp","warp","warp","warp","warp","warp","warp","warp","warp","warp","warp","inst","inst"
"0","3480","python3.12","127.0.0.1","_fused_dequant_attention_split_kernel","1","7","(256, 1, 1)","(512, 4, 1)","0","8.0","0","0","39400","38600","285","14,680,064","0","0.026194","368","8","0","1","1","1","0","1","0","1","0","368","1,410,000","0","8","0","0","1","1","1","No-CC","1","1","1","0","0","NVIDIA A100-SXM4-40GB","1","1","5,120","10","1","1","5,120","1","1","1","0","1","548,409,566","8,368","0","0","3","3","16,000","16","161","323,948,766","1","1","0","0","0","0","1","368","0","1","0","41,943,040","80","32","54","1","1","134,213,632","1,024","1,024","64","32","1,410,000","2,147,483,647","65,535","65,535","4","1","1,215,000","26,214,400","2,147,483,647","65,536","65,536","255","49,152","166,912","167,936","1,024","2,048","64","16","2,048","32,768","32,768","65,536","32,768","2,048","32,768","131,072","16,384","16,384","16,384","2,046","32,768","32,768","2,048","32,768","268,435,456","32,768","131,072","32,768","32,768","65,536","32,768","2,048","32,768","65,000","2,097,120","131,072","32,768","32,768","131,072","16,384","32,768","16,384","8,192","16,384","8,192","2,046","32,768","32,768","1","1,215,000","1","9","0","0","0","0","108","8","4","1","0","0","0","0","4","0","1","15","1,024","8","2","1","1","512","0","0","512","32","65,536","42,405,855,232","1","0","1","32","14.121318","14.154742","14.086174","564.852737","525271.857143","528199.000000","520693.000000","3676903.000000","46.335736","46.461716","43.965355","46.335736","36.323894","36.409869","36.233493","36.323894","483.488000","77807616","514567.194444","521979.000000","490753.000000","55573257.000000","523562.240741","526595.000000","518709.000000","56544722.000000","13.045336","1","256","1","1","256","1","0","CachePreferNone","1","512","4","1","2,048","","32.000000","2.000000","6.000000","8.000000","418","4,976","1,040","119","120.000000","32.768000","5.120000","5.120000","1.024000","4.096000","0","108","1,024","7","524288","54","all","0","0","0","9.48","0","0","494770.750000","497407.000000","492762.000000","39581660.000000","504755.000000","504755.000000","504755.000000","40380400.000000","0","0","0","0","23.775972","0","0","3223552","17874944","3194880","9736192","9736192","0","0","1","1","1","1","0","0","0","0","0","0","0","0","1","0","0","0","12","0","0","0","0","0","0","2.697173","2.697173","2.697173","35.063254","2.697173","2.697173","2.697173","35.063254","13.000000","0","77,807,616","77,807,616","77,807,616","2,384,482,304","2,384,482,304","2,384,482,304","16.000000","25.000000","16.298603","16.330437","15.470940","16.298603","131072","180261.925926","180614.000000","171108.000000","77873152.000000","4721.777778","4731.000000","4482.000000","2039808.000000","180634.136574","180987.000000","171462.000000","78033947.000000","35.114387","0.35","35.182982","0.35","33.331369","0.33","35.114387","151.69","64.885613","66.356760","61.902780","64.885613","4.000000","2","33.554432","0","6","2048.000000","27,170","1879","1394","252","206","160","56","14","13","31","31","22","20","8284","6175","953","669","0","0","4739","3915","2","1","112","87","1521","0","2429","0","3233","2422","0","0","0","0","3539","2399","90.804598","303.407407","320.000000","288.000000","131072.000000","0","0","0","0","0","0","0","16.000000","3.889586","16.000000","3.944504","16.000000","3.717190","6912.000000","1680.301346","0.567529","0.578607","0.535883","245.172585","2434793472","2384482304"
"1","3480","python3.12","127.0.0.1","_combine_splits_kernel","1","7","(256, 1, 1)","(512, 1, 1)","0","8.0","0","0","3936","3344","0","0","0","0.012397","368","8","0","1","1","1","0","1","0","1","0","368","1,410,000","0","8","0","0","1","1","1","No-CC","1","1","1","0","0","NVIDIA A100-SXM4-40GB","1","1","5,120","10","1","1","5,120","1","1","1","0","1","548,409,566","8,368","0","0","3","3","16,000","16","161","323,948,766","1","1","0","0","0","0","1","368","0","1","0","41,943,040","80","32","54","1","1","134,213,632","1,024","1,024","64","32","1,410,000","2,147,483,647","65,535","65,535","4","1","1,215,000","26,214,400","2,147,483,647","65,536","65,536","255","49,152","166,912","167,936","1,024","2,048","64","16","2,048","32,768","32,768","65,536","32,768","2,048","32,768","131,072","16,384","16,384","16,384","2,046","32,768","32,768","2,048","32,768","268,435,456","32,768","131,072","32,768","32,768","65,536","32,768","2,048","32,768","65,000","2,097,120","131,072","32,768","32,768","131,072","16,384","32,768","16,384","8,192","16,384","8,192","2,046","32,768","32,768","1","1,215,000","1","9","0","0","0","0","108","8","4","1","0","0","0","0","4","0","1","15","1,024","8","2","1","1","512","0","0","512","32","65,536","42,405,855,232","1","0","1","32","5.189441","5.565217","4.770186","207.577640","5484.000000","5517.000000","5444.000000","38388.000000","9.892033","10.658153","8.133854","9.892033","13.348351","14.314928","12.269939","13.348351","5.152000","495616","2971.398148","3312.000000","2530.000000","320911.000000","5348.018519","5367.000000","5297.000000","577586.000000","65.287109","0","256","1","1","256","1","0","CachePreferNone","1","512","1","1","512","","32.000000","8.000000","32.000000","8.000000","3,670","5,504","1,696","27","32.000000","32.768000","1.024000","1.024000","1.024000","0.000000","0","108","1,024","7","131072","54","all","0","0","0","0.59","0","0","2361.737500","2815.000000","1907.000000","188939.000000","5284.000000","5284.000000","5284.000000","422720.000000","0","0","0","0","24.654229","0","0","51200","0","0","102400","102400","0","0","1","1","1","1","0","0","0","0","0","0","0","0","1","0","0","0","12","0","0","0","0","0","0","2.697173","2.697173","2.697173","35.063254","2.697173","2.697173","2.697173","35.063254","13.000000","0","495,616","495,616","495,616","13,434,880","13,434,880","13,434,880","64.000000","100.000000","9.573639","10.097198","8.077758","9.573639","0","1147.259259","1210.000000","968.000000","495616.000000","14.222222","15.000000","12.000000","6144.000000","1193.814815","1262.000000","1000.000000","515728.000000","40.802686","0.41","43.133147","0.43","34.178405","0.34","40.802686","176.27","59.197314","69.450519","49.524509","59.197314","16.000000","2","33.554432","0","6","2048.000000","153","0","0","1","0","1","0","11","7","40","37","0","0","55","21","7","3","0","0","1","1","0","0","2","2","8","0","9","0","2","0","0","0","0","0","16","8","0.000000","0.000000","0.000000","0.000000","0.000000","0","0","0","0","0","0","0","16.000000","7.574234","16.000000","9.138622","16.000000","5.337983","6912.000000","3272.068914","1.270204","1.638513","0.702708","548.728139","15859712","13434880"
