backend,batch,block_size,compression_ratio,estimated_dense_kv_bytes,estimated_quant_kv_bytes,head_dim,heads,iters,latency_ms,output_checksum,seq_len,tokens_per_second
dense,1,16,1.0,1024.0,1024.0,8,2,1,0.20579993724822998,2.3734889030456543,16,4859.087973354573
dense,1,16,1.0,2048.0,2048.0,8,2,1,0.16080006025731564,0.07091183960437775,32,6218.903142198946
paged,1,16,1.855072463768116,1024.0,552.0,8,2,1,0.5032001063227654,2.374423027038574,16,1987.2809791470404
paged,1,16,1.8686131386861313,2048.0,1096.0,8,2,1,0.4533999599516392,0.07436662912368774,32,2205.558200990275
